number	number_sup	trip	trip_sup	onboard_at_departure	death_at_cape	left_at_cape	onboard_at_cape	death_during_voyage	onboard_at_arrival
1460		1		33	1	1	4	1	26
1461		1		102	15				
1462		1		113	2	1		2	110
1463		1		97	5	4	2	3	92
1464		1		120	10	13	4	7	104
1465		2		123	8	2	1	4	118
1466		1		117	2		1	2	116
1467		1		112	3	1	2	2	109
1468		2		101	4	9	10	5	97
1469		1		144	5	19	10	6	129
1470		1		31			7		38
1474		1		166	9	15	16	8	156
1476		3		117	8	8	7	8	108
1477		1		123	9	8	3	9	109
1478		5		183	5	10	1	6	165
1479		3		145	17	3	2	11	133
1480		2		121	18	13	3	14	97
1481		1		176	4	6	4	7	167
1482		2		90	1	5	4	2	87
1483		1		41				1	40
1484		2		86		3	2	2	83
1485		3		138				3	135
1486		1		59		1		1	57
1487		1		131	2	1	1	17	111
1488		2		149	7	9	1	10	136
1489		1		129	8	24	3	7	101
1490		2		68				10	58
1492		1		155	8	14	29	5	164
1493		2		74	1	2	4	1	75
1495		2		91		2		8	81
1496		1		64		5	5	4	60
1497		1		77		3	15	8	80
1498		1		106		6	11		111
1499		4		146		6	1	2	139
1500		1		129		7	9	7	125
1502		6		190	1	4		5	181
1503		1		93		18	2	4	71
1504		1		117		6	4	7	110
1505		5		147	3	7	10	6	144
1507		2		112		5	4	2	109
1508		2		103				1	102
1509		1		164		4	2	1	154
1511		2		148		9	1	2	132
1512		1		29				1	28
1514		1		79	9	5	4		78
1515		2		86	8	4	5	4	83
1516		1		37	4	1		2	34
1517		2		63		1	3	2	49
1518		3		150	18				
1519		7		158		1		2	156
1520		2		21	1	4	3	1	19
1521		2		44		1	3		46
1522		1		54					56
1523		4		142	15	4		10	128
1525		1		152	17	8		18	126
1526		4		138	17	14		8	116
1527		1		72				37	35
1528		1		48	1	3	1	1	45
1529		1		140	5	15	10	5	130
1530		2		169		16	3	9	147
1533		3		166	2	6		2	158
1535		3		142				14	128
1536		1		112	1	4		4	104
1537		1		130	3	3		7	120
1538		6		152	15	5	7	14	140
1539		1		152	10	13	10	4	145
1540		1		134	4	8	9	8	127
1542		2		123	10	10	14	22	105
1543		2		165	10	14	9	10	150
1544		1		64	14	9	5	2	58
1545		2		67	6	9	7	4	61
1546		1		92	2	4	6	5	89
1547		4		109	3	2	8	1	114
1548		3		55		1	1	7	52
1550		2		64		1	1	1	63
1551		2		85		5		10	70
1552		1		50		1		2	47
1553		2		98				1	97
1554		1		48			2	3	47
1555		1		76	13	1	3	10	68
1556		3		146	17	5	6	11	136
1557		2		148		3	5	1	149
1558		2		107		5	3	8	97
1560		4		156	19	10	6	9	143
1561		2		98		8	14	9	95
1562		2		85	9	9	8	13	71
1563		3		105	4	3		3	97
1564		6		121	37	13	9	19	97
1568		3		14			1		15
1569		1		14					
1571		1		15					15
1573		1		171		29	10	1	150
1574		4		157	17	20	2	7	131
1576		2		155	1	25	4	3	130
1577		1		151	68	13	15	45	107
1579		5		184	34	15		19	150
1580		3		182	30	19	10	22	151
1581		2		99	6			6	93
1582		2		156	28	15	5	23	123
1583		3		133	12	6	9	11	123
1584		1		106	57	11	26	40	79
1585		1		145	36	17	15	15	128
1586		2		126	5	3	8	5	126
1587		4		171	3	29	10	6	145
1589		1		28		11	10	2	25
1590		2		97	5	4	5	2	96
1591		1		182	10	34	5	11	128
1592		4		98	66	2	18	47	60
1593		1		83	30				
1594		4		116	39				
1595		1		97	5	6	7	5	93
1596		3		142	60	7	3	40	90
1597		5		215	170	21	14	103	105
1598		2		198	213	25	52	174	51
1599		2		117	5	10		2	105
1600		2		77	2	4	1	2	72
1601		3		165	4	25	1	7	133
1603		4		161	42	15	5	46	105
1606		3		95	18	2	19	11	99
1608		3		58	30	4	6	20	40
1609		2		82	3	2	6	4	79
1611		5		137	48	7	3	33	101
1612		3		177	35	22	3	27	131
1613		3		137	36	16	7	27	101
1614		1		85	6	11	1	11	64
1615		2		88	6	7	5	6	80
1616		3		90	2	10	3	8	75
1617		2		151	11	17	7	41	100
1618		2		176	15	13	4	29	138
1619		2		71	8	9	1	9	54
1620		3		89	2	14	5	9	71
1621		3		148	54	30	43	104	57
1622		5		175		17		17	141
1623		1		143	70	26	19	27	109
1624		2		152	16	14	9	33	114
1625		2		104	27	17	3	26	64
1626		2		61	2	3	9	2	65
1627		4		144	24	4	9	13	136
1630		1		131	31	3	6	13	118
1631		1		168	27	12	16	29	140
1635		1		191	35	22	5	24	149
1637		1		131	101	17	31	58	87
1642		2		105	28	10	8	25	78
1643		4		175	221	12	107	128	143
1644		1		119	3	4	4	2	117
1645		1		150	4	2	4	6	146
1646		3		138	2	3	8	8	135
1648		1		169	16	29	7	24	123
1649		5		173	51	39	2	33	99
1650		1		142	60	8	8	34	108
1652		5		96	2	12		2	76
1653		2		30	1	5	2	1	26
1654		1		143	1	4	1	15	124
1655		1		98	12	16	4	8	77
1657		1		145	11	16	13	10	122
1659		2		119	2	3	2	2	110
1660		1		95	3	14	9	2	86
1662		1		165	8	18	7	6	148
1664		1		128	39	18	13	60	63
1667		1		174	37	22	17	27	142
1668		1		140	23	33	1	10	98
1670		2		143	134	7	49	87	98
1672		3		180	17	9	5	18	158
1673		4		126	2	39	2	2	87
1674		3		119	38	17	25	25	102
1675		1		154	41	19	15	33	117
1676		3		157	39	53	43	75	72
1677		1		167	23	7	8	14	155
1678		1		133	30	3	3	10	123
1681		1		120	11	16	8	20	84
1682		2		98	13	6	4	11	81
1683		1		110	43	7	10	26	87
1684		2		155	88	37	42	59	101
1685		4		152	15	13		5	134
1686		4		57	16	13	29	20	53
1688		3		162	13	36	25	13	138
1689		3		80	51	9	38	40	69
1690		5		108	16	11	7	18	86
1691		1		136	6	25	2	7	106
1692		3		93	60	13	32	42	70
1693		4		194	74	36	3	55	106
1694		4		103	68	8	7	32	70
1695		2		147	30	6	5	18	128
1696		1		74	1	1		1	72
1697		1		176	17	16	1	12	149
1698		4		90	1	5		9	76
1699		3		155	59	11	9	41	112
1701		1		165	1	4	2	3	160
1702		1		104	1	5	2	1	99
1703		3		97	13	3	1	8	87
1704		1		26			2	1	27
1705		1		58		3	3	2	56
1706		1		174	11	4	2	5	167
1707		1		60	1	6	2	1	55
1710		1		104	23	5	3	15	87
1711		1		108	32	7	5	15	91
1712		2		137	16	17	10	12	118
1713		2		77	12	7	5	12	63
1714		3		128	25	16	3	17	98
