number	number_sup	trip	trip_sup	onboard_at_departure	death_at_cape	left_at_cape	onboard_at_cape	death_during_voyage	onboard_at_arrival
1447		3		116		5	4	5	110
1449		6		96				3	93
1450		4		116		5		6	123
1451		1		114		3	7	1	117
1452		1		41		1	1	27	14
1453		1		77		4	3	1	75
1454		2		79	1			1	78
1455		3		100	1	10	9	1	98
1456		1		106		4	2	1	103
1458		6		106		4	3		105
1459		1		37		37			
1460		1					3		3
1462		1		61	1	15		1	45
1463		1		71		5		3	63
1464		1		81		1	8	6	82
1465		2		82		13	11	9	71
1466		1		76	1		15	1	90
1467		1		83		5		2	78
1468		2		57		3	11	2	63
1469		1		108		8			100
1474		1		115		13	4	4	102
1476		3		88		3	2	14	73
1477		1		74	2	2	7	2	77
1478		5		116		5	2		13
1479		3		102		12	13	7	96
1480		2		86		9	3	5	75
1481		1		78		4			64
1482		2		34		4	5		35
1484		2		32		1	1	2	30
1485		3		103				3	98
1487		1		87				13	71
1488		2		107		3	17	8	107
1489		1		42		3	18	2	55
1492		1		120		32	12	5	94
1495		2		61		5	1	3	59
1496		1		44		3	2	8	35
1497		1		24		1	4	1	26
1498		1		63		5	6		64
1499		4		109		15	1	2	93
1500		1		99		2	9	5	101
1502		6		128		6	22	5	119
1503		1		57		6		2	47
1504		1		65		6	5	3	59
1505		5		53		2	3	2	52
1507		2		76		18	3	1	60
1508		2		48				1	47
1509		1		98		8	3	1	94
1511		2		59		7			52
1514		1		55		5	9	1	58
1515		2		51		1	4	7	47
1516		1		18		2	4		18
1517		2		25		25		2	4
1519		7		107		1	7	2	111
1520		2					1		1
1521		2		31	1		3	3	31
1522		1		34					34
1523		4		104		15	2	13	78
1525		1		100		4	2	26	70
1526		4		96		10		17	69
1527		1		49				30	19
1529		1		96		23	2	3	72
1530		2		110		12		15	83
1533		3		112		6	1	1	106
1535		3		75		1		6	68
1536		1		77		4	2	6	69
1537		1		74				2	72
1538		6		103		13	3	4	89
1539		1		104		14	13	8	95
1540		1		92		17	21	10	86
1542		2		79		9	7	7	68
1543		2		112		6	3	13	96
1544		1		47		4	2		45
1545		2		34		7	4	3	28
1546		1		67		2			65
1547		4		98		8	5	3	98
1548		3		54		4	2	4	48
1550		2		50		1	3	1	51
1551		2		78		5		11	62
1552		1		45		14	13	4	40
1553		2		62					62
1554		1		47		12	13		48
1555		1		72		3	2	5	66
1556		3		84		8	9	10	75
1557		2		144		4	3	2	141
1558		2		105		4	4	2	103
1560		4		111		4	1	3	105
1561		2		80		20	13	4	69
1562		2		67		12		11	43
1563		3		103		2		2	98
1564		6		86		44	6	12	36
1573		1		121		55			65
1574		4		110		6	8	9	103
1576		2		86		53	1		34
1577		1		80		7	13	33	52
1579		5		133		23	12	23	99
1580		3		132		38	6	35	65
1582		2		112		20	7	24	75
1583		3		83		20	19	8	74
1584		1		48		4	2	20	25
1585		1		101		13	24	30	82
1586		2		84		12	5	3	74
1587		4		128		15	13	1	125
1590		2		64		3	5	3	63
1591		1		134		44	12	5	95
1592		4		66		5		27	18
1593		1		57					
1594		4		75					
1595		1		51		14	1	2	36
1596		3		94		10	3	35	44
1597		5		129		15	20	85	49
1598		2		129		11	39	147	10
1599		2		89		5	1	3	82
1601		3		123		30		6	86
1603		4		101		27	12	29	57
1606		3		62		10	2	8	51
1608		3		37		10	1	12	16
1609		2		59		10	8	4	53
1611		5		105		12	2	22	73
1612		3		122		8	4	27	91
1613		3		95		17	5	21	62
1614		1		46		1	2	12	35
1615		2		49		1	1	4	44
1616		3		57		15	4	8	38
1617		2		92		15	4	41	40
1618		2		111		11	8	26	82
1619		2		47		6	3	11	33
1620		3		20		11			9
1621		3		90		17	24	63	34
1622		5		84		11		14	59
1623		1		116		20	9	61	44
1624		2		107		9	7	37	68
1625		2		66		12	4	25	33
1626		2		41	2	10	12	2	41
1627		4		92		2	3	19	74
1630		1		97		6	4	27	68
1631		1		129		10	3	25	97
1635		1		119		16	18	23	98
1637		1		86		8	20	50	48
1642		2		73		13	1	23	38
1643		4		124		11	46	101	58
1644		1		70		6	9	2	71
1645		1		91		7	12	2	95
1646		3		56		2	4	7	51
1648		1		122		18	6	16	94
1649		5		110		32	1	23	55
1650		1		111		10	5	29	77
1652		5		45	1	11	3	1	38
1654		1		90		12	11	15	73
1655		1		79		72		7	
1657		1		104		22	11	4	89
1659		2		73	5	16	9	5	60
1660		1		45		2	2	4	41
1662		1		99		14	6	12	79
1664		1		76		10	6	18	54
1667		1		133		26	19	18	108
1668		1		103		15	7	16	79
1670		2		111		4	27	69	65
1672		3		138		8	3	17	116
1673		4		87		29	1		59
1674		3		89		20	10	19	60
1675		1		98		27	20	28	62
1676		3		84		27	7	28	36
1677		1		121		8	7	14	106
1678		1		103		5	3	21	80
1681		1		83		16	8	22	50
1682		2		77		6	7	7	71
1683		1		76		12	9	34	39
1684		2		101		24	39	58	58
1685		4		107		15	3	12	83
1686		4		20		4	2	7	11
1688		3		131		36	5	11	89
1689		3		43		4	11	23	27
1690		5		77		13	2	17	49
1691		1		100		20	3	4	79
1692		3		66		8	23	49	32
1693		4		144		16	3	56	75
1694		4		66		10	4	33	27
1695		2		107		25	6	13	75
1697		1		82		4	2	9	64
1698		4		67		22	5	7	43
1699		3		124		47	9	27	59
1701		1		127		48	3		82
1702		1		71		9	13	6	70
1703		3		82		5	5	10	72
1705		1		45			1		44
1706		1		127		22	2	10	97
1707		1		35	1	34		1	
1710		1		70		8	6	10	58
1711		1		70		11	4	19	44
1712		2		94		15	9	12	76
1713		2		47		5	4	5	41
1714		3		86		15	6	17	60
1715		2		103		14	3	15	77
1716		1		50		7	2	7	38
1717		2		54		7	5	12	40
1718		2		104		18	3	24	65
1723		3		68		5	10	3	70
1725		5		114		14	4	18	82
1726		1		51		7	2	12	28
1728		2		56		8	4	13	38
1729		2		113		13	2	15	87
1731		2		89		11	10	15	73
1732		2		97		8	3	14	78
1733		2		90		12	4	14	67
1734		1		109		2	2	4	105
1735		1		90		7	5	5	81
1736		2		68		17	11	27	35
1738		2		91		2	10	47	52
1740		1		33		1	1		33
1743		3		40		5	19	20	34
1744		2		90		8	2	35	49
1746		2		106		20	11	41	56
1747		1		97	2	22	14	2	87
1749		1		99	1	4	1	1	95
1750		3		80		5	7	3	79
1751		1		59			1	3	56
1752		4		128		10	10	12	116
1754		2		93		6	9	8	88
1756		2		25			4		29
1757		3		97		5	11	2	99
1758		4		102		1	3	5	99
1759		4		64		1	1	2	62
1760		2		77		32	35	56	24
1761		4		82		16	6	4	68
1762		2		128		16	16	6	122
1765		1		79	11	13	12	11	67
1766		2		73		10	8	12	59
1769		1		103		9	9	2	101
1770		1		109		5	7	16	95
1774		3		81		4	23	4	96
1775		1		30	4	2	20	4	44
1776		5		89	1	6	21	1	103
1777		3		48		1	19		66
1778		2		55	1	4	21	1	71
1779		2		85		6	4	2	81
1780		2		44	2	4	4	2	42
1781		2					4		4
1782		2		122		33	34	12	111
1783		3		116		10	8	17	97
1784		2		69		24	21	4	62
1785		1		64		9	11	7	59
1788		2		82		15	10	2	75
1789		1		53		1	2	1	53
1791		3		104	1	4	5	1	102
1794		3		91	1			1	90
1795		2		51		2	1		50
1797		3		67		4	2	1	64
1798		5		115		14	8	3	106
1799		2		77	1	6	6	1	76
1800		2		84		6	13	5	86
1802		1		84		7	1	3	75
1803		3		83		3	19	4	95
1804		4					4		4
1806		4		107		14	18	29	82
1808		3		83		8	2	6	68
1810		1		116		4	5	4	113
1813		1		48		4	29		73
1814		2					12		12
1819		3		90		8	10	2	90
1820		1		1		1	1		1
1835		4		79		7	3	2	73
1836		3		77		12	10	5	72
1838		3		72		4	6		74
1839		1		29		4	5	2	27
1840		4		72		10	3	1	64
1842		1		65	1	10	2	1	56
1844		1		54		7	3	1	48
1845		3		43					43
1846		3		57		1		2	53
1848		1		33		2		4	27
1849		3		41		3	5		43
1850		5		40		5	3	4	34
1851		4		41	1	3	2	1	36
1852		4		67	3	6	1	3	59
1854		3		23	1			1	22
1855		1		71		5	2	1	65
1856		2		53		4	3		52
1857		4		40		1	1		40
1858		5		36	1	4		1	31
1859		3		29		7	3		25
1860		5		60	2	9	4	2	53
1861		3		30		4	4	4	26
1862		4		57		4	1	4	50
1863		6		80		11	4	2	71
1864		3		65		5		4	56
1865		2		29		3	1		28
1866		1		54		5	5	5	49
1867		1		54		14	11	4	53
1868		2		67		7	1	4	57
1871		4		61		8		6	47
1873		2		29		3	1		27
1874		3		54		11	1		44
1875		2		26		1	5		30
1876		1		42		2	4	2	42
1878		1		62		5		1	56
1879		4		78		5	19	4	88
1880		2		36	2	3		2	31
1881		4		78	1	7	6	1	74
1882		3		61	2	6	2	2	55
1883		4		94		11	3	2	84
1884		1		89		10	2	6	74
1885		2		35	1	2	4	2	35
1886		1		37		3	2		36
1887		4		16					16
1888		3		45		2	4	1	46
1889		3		84		12	12	8	76
1891		4		79		6	6	17	62
1892		3		70		14	7	3	60
1894		1		36		4	3		35
1896		1		34		5	1	3	28
1899		4		61		2	3	1	61
1900		1		60		12	7	11	51
1901		1		42		5	5	1	41
1902		3		38		1	1		38
1903		4		57		13	3	7	40
1906		2		45		8		2	35
1907		4		28		3			25
1908		1		43		3	2	3	39
1910		3		71		2	6	6	69
1911		2		73		8	4	9	60
1912		2		42		2		2	38
1913		4		58		7			51
1915		1		52		13	5		44
1916		5		38		4	3		37
1917		2		40		6	2	2	34
1918		6		40		2	4	3	39
1919		4		82		3	2	6	75
1920		1		37		5	6	7	31
1921		5		53		4	2	2	47
1922		2		44		2	6	10	38
1923		6		1			3		4
1924		1		46		5	10	13	38
1925		4		55		9	5	15	36
1928		1		60		7	10	7	56
1930		3		55				10	45
1934		3		60		8	7	2	57
1935		4		91	13	4	9	13	83
1936		5		86	9	15	1	9	63
1937		1		61		4	22	1	71
1939		3		30	4	2		4	24
1941		3		108		16	5	10	87
1942		4		108		7	7	12	96
1943		3		49		1		9	37
1944		4		54		8	3	2	47
1945		1		50	13	2	2	14	36
1946		3		126		12	1	10	105
1948		3		43		6	6	10	33
1949		5		83		5	4	3	79
1950		1		53		7	3	1	58
1951		5		101	38	16	29	39	75
1952		1		98		17	7	2	86
1953		5		96		18	5	3	80
1954		1		113	17	20	2	17	78
1955		1		108	5	10	9	6	101
1956		5		145	39	23	9	39	92
1957		1		50	1	6	4	1	47
1958		4		78	1	7	8	1	78
1959		1		54	4	4	2	4	48
1963		1		44		3	5		46
1964		2		61	3	3	3	3	58
1965		3		61		3	1		59
1966		4		106	3	9	5	5	97
1967		3		98	2	4	7	2	99
1968		2		51		1	1		49
1969		2		60	3	2	6	3	61
1970		2		63			2	1	64
1971		5		86	1	5	4	1	84
1972		2		82	5	4	6	5	79
1973		3		40	2	6	3	2	35
1974		1		60	11	10	26	11	48
1976		6		33	5	10	26	5	44
1977		4		86	4	10	4	4	76
1978		1		62	4	4	5	5	58
1979		4		95	4	1	8	4	78
1980		5		82	8	9	2	9	67
1981		1		83	7	10	9	7	75
1983		1		121	4	35	9	4	91
1984		1		99	1	16	8	4	81
1985		2		97		7	3	10	83
1986		1		97		6	4	1	93
1987		1		48		3	3		48
1988		5		75	1	4	1	1	71
1989		2		44	1	2	8	1	49
1991		2		81	13	3	5	13	70
1993		4		80	6	8	4	7	69
1994		4		39	4	11	13	4	37
1995		1		61		10	4		55
1996		1		99	5	19	16	6	95
1997		4		50			7	48	9
1998		2		77	11	16	14		64
1999		1		13		1	1	1	13
2000		1		61		4	11	9	52
2001		6		81		1	8	8	81
2002		3		60		2	3	10	51
2003		2		64		12	30	35	47
2004		4		47		3	9	6	47
2005		2		65		9	1	5	52
2007		3		86		21	4	8	61
2008		2		46		2	1	2	43
2010		4		59		2	2	1	56
2011		1		136		16	4	3	128
2012		5		99		13	5		91
2013		1		48		7	4	3	42
2014		5		52		3	1	2	48
2016		4		63		10	3	6	50
2017		1		84		14	3	2	71
2018		1		66	1	4	2	1	63
2019		1		105		4	5	4	102
2020		2		94		6	2	1	89
2021		3		66		6	1	3	58
2022		2		88		11	9	2	84
2024		1		124	1	2		1	121
2026		2		87		15	3	8	67
2027		3		38		1		1	25
2028		3		58	2	9	3	2	49
2029		3		60	4	5	1	4	41
2030		5		120		13	7	5	108
2031		4		113		33	10	3	87
2033		2		107		14		23	70
2034		5		94		4		5	83
2038		1		58		11	5	3	49
2039		2		57		4	1	4	50
2040		5		82		48		1	29
2041		1		87		9	37	20	94
2042		1		54		7	3	3	47
2044		1		89		8	24	10	92
2046		3		71	12	39		16	37
2047		2		59	2	1		3	55
2049		2		89		28	25	1	85
2050		1		68		9	3	4	58
2051		4		52		10	2		44
2052		6		90		4		8	78
2053		2		60		9		4	55
2054		2		94		4	7		90
2055		3		59		4	3		54
2056		2		64		10	6		43
2057		1		45		7	8		32
2058		5		110		12	4		90
2059		4		133		14	4		92
2060		2		101		6	3		90
2064		2		47		12	9		44
2065		1		65		6	2	13	48
2066		1		101		7	4		95
2069		3		93		9	2		86
2070		1		92		10	6		79
2071		1		55		3	2		51
2072		6		91		9	3		81
2073		1		57	1	3	8	6	56
2074		6		98	1	14	13	3	94
2075		1		63	10	3	7	19	48
2076		2		117	7	7		21	110
2078		1		96	3	3	12	3	102
2079		3		67	6	5		12	65
2081		2		99	20	24	11	28	62
2082		3		98	8	31	13	16	64
2083		4		38	7	2	2	7	31
2084		7		92	18	23	22	29	63
2085		2		100	10	18	4	14	72
2086		4		52	32	4	3	32	12
2087		2		60	1	1		9	54
2089		1		35	3	3		3	28
2090		1		43		1		2	40
2091		3		96	25	12	11	34	61
2092		1		118	12	9	8	25	92
2093		1		91	14	14	8	14	71
2094		5		56		6	3		52
2096		2		80	1	9		1	70
2097		2		11		1	2		12
2098		2		74	4	5	1	4	66
