number	number_sup	trip	trip_sup	invoice	chamber 
6167		1		108929	Z
6168		5		274790	D
6169		2		219527	A
6170		3		234829	H
6171		1		477485	A
6172		2		251690	Z
6173		1		370670	A
6174		5		422648	Z
6175		5		273316	R
6176		1		200304	E
6177		4		189866	A
6178		1		4872	A
6178		1		230997	Z
6179		2		372754	Z
6179		2		4872	A
6180		6		422021	A
6181		3		273729	A
6182		2		275173	A
6183		3		594	D
6183		3		594	Z
6183		3		300302	A
6183		3		594	R
6184		1		594	H
6184		1		205107	E
6185		1		43313	A
6185		1		9158	D
6185		1		10063	H
6185		1		29333	Z
6185		1		120534	R
6187		1		242042	H
6188		1		341983	A
6189		1		431605	Z
6190		1		361092	A
6191		4		284954	A
6192		2		229486	R
6193		1		297282	D
6194		3		228491	E
6195		3		311008	Z
6196		1		78069	Z
6196		1		278620	A
6197		1		5530	A
6197		1		185516	Z
6198		1		269748	A
6199		5		17296	A
6199		5		381860	Z
6200		4		550962	A
6201		2		339782	A
6202		1		595	R
6202		1		595	D
6202		1		233051	Z
6203		1		595	E
6203		1		748	A
6203		1		165517	H
6204		2		6731	E
6204		2		7085	H
6204		2		7246	R
6204		2		7646	D
6204		2		29811	Z
6204		2		182530	A
6209		1		190757	E
6210		6		232554	R
6211		3		219146	D
6212		4		378745	A
6213		2		26763	A
6214		1		304826	Z
6215		1		400499	A
6216		2		335299	Z
6217		6		265177	A
6218		1		325230	A
6219		5		295685	H
6220		2		271876	Z
6221		3		285296	A
6222		1		248984	A
6223		5		336505	A
6224		2		215959	A
6224		2		107955	Z
6225		2		334937	Z
6226		2		328852	A
6227		3		375	R
6227		3		375	D
6227		3		375	Z
6227		3		236787	A
6228		1		375	H
6228		1		197945	E
6229		1		5688	E
6229		1		5550	H
6229		1		5610	R
6229		1		5561	D
6229		1		24196	Z
6229		1		145114	A
6230		1		6552	E
6230		1		6551	H
6230		1		6720	R
6230		1		6754	D
6230		1		24692	Z
6230		1		174015	A
6231		1		187302	A
6232		1		40256	E
6233		2		441847	A
6234		4		207320	E
6235		2		360840	Z
6236		2		253023	H
6237		1		417112	A
6238		1		340347	A
6239		6		320238	Z
6240		1		266107	R
6241		2		246273	D
6242		1		316205	A
6243		1		277675	A
6243		1		8575	H
6244		3		4531	Z
6244		3		296846	A
6245		2		217082	A
6246		1		313212	Z
6247		3		198581	Z
6248		1		681	H
6248		1		184974	E
6249		2		375	R
6249		2		431	Z
6249		2		258185	D
6251		1		495687	Z
6252		4		272972	A
6253		1		234292	E
6254		3		274561	D
6255		3		46513	E
6256		2		323695	R
6257		1		244937	H
6258		2		235595	Z
6259		6		532042	A
6260		5		539454	A
6261		1		280204	A
6262		4		410618	A
6263		2		224241	Z
6264		2		401574	A
6265		3		234477	Z
6266		1		240981	A
6267		2		242209	A
6268		3		235737	Z
6269		3		376	H
6269		3		376	E
6269		3		376	A
6269		3		222067	R
6269		3		376	D
6270		3		227623	Z
6271		1		136518	A
6271		1		6948	D
6271		1		6797	R
6271		1		6871	H
6271		1		6903	E
6271		1		27176	Z
6273		3		501588	A
6274		2		304552	D
6275		7		371885	A
6276		1		266827	A
6277		2		261824	E
6278		1		64750	E
6279		2		316634	R
6280		2		444827	Z
6281		1		277240	H
6282		2		290373	A
6282		2		8550	E
6283		1		175281	A
6284		1		153862	Z
6284		1		8550	R
6285		2		8652	D
6285		2		254141	Z
6286		1		691	A
6286		1		241382	H
6286		1		377	E
6287		4		243248	Z
6287		4		377	D
6287		4		377	R
6288		1		7479	E
6288		1		7158	H
6288		1		7382	R
6288		1		7331	D
6288		1		28472	Z
6288		1		147619	A
6289		2		203195	Z
6290		4		181566	H
6291		2		243277	A
6292		2		177287	E
6293		3		182628	R
6294		3		242090	D
6295		4		243272	Z
6296		2		174877	E
6297		2		226055	A
6298		2		204159	A
6299		1		324454	Z
6300		2		385123	A
6301		5		308204	A
6302		3		402294	A
6303		2		212492	A
6304		2		196942	Z
6305		2		272890	Z
6306		2		385392	A
6307		1		377	Z
6307		1		158018	D
6307		1		377	R
6308		6		377	H
6308		6		377	E
6308		6		220143	A
6309		2		10140	E
6309		2		10367	H
6309		2		10534	R
6309		2		10518	D
6309		2		30844	Z
6309		2		170525	A
6310		4		430394	A
6311		3		224369	E
6312		6		409760	A
6313		2		409993	A
6314		4		310441	H
6315		1		372113	A
6316		2		235114	E
6317		8		366581	A
6318		5		223228	H
6319		1		272850	R
6320		2		297773	A
6320		6		303184	D
6321		2		405016	Z
6322		3		372114	A
6323		2		272850	R
6324		1		119485	D
6325		5		280108	R
6326		3		401340	Z
6327		3		307825	A
6328		3		297331	Z
6329		2		194057	Z
6331		4		190453	Z
6332		3		304834	A
6333		1		357406	A
6334		2		189423	E
