number	number_sup	trip	trip_sup	onboard_at_departure	death_at_cape	left_at_cape	onboard_at_cape	death_during_voyage	onboard_at_arrival
2196		3		5		1			4
2198		1		2		2			
2202		4		1		1			
2203		2		16		16			
2206		4		3		1			3
2213		4		7		5			2
2214		8		4					4
2216		2					5		5
2218		3		2					2
2219		3		4					4
2220		3		7		1			6
2222		2		3					3
2223		1		6		1			5
2224		1		1					1
2225		1		12		4			8
2226		3		2		1			1
2231		3		2					2
2234		3		2					2
2235		3		2		1			1
2236		3		6					6
2237		3		2					2
2238		3		3					3
2241		3		1		1	3		3
2243		6		1					1
2244		7		4		4			
2245		4		2					2
2248		3		4		5		1	
2251		5		2		2			
2253		1		2		2			
2254		4		3		2			1
2257		1		4		1			3
2260		3		7					7
2262		3					2		2
2263		2		2		2	2		2
2270		7		1		1	2		2
2272		3					5		5
2273		3		5		5			
2274		1		1		1			
2275		1		1					1
2278		4		1					1
2280		3		2					2
2281		3		1					1
2286		2		1		1			
2287		4		4					4
2288		1		4					4
2289		1					2		2
2290		4		1					1
2293		4		3					3
2296		4		4		1			3
2297		2		9		2			7
2300		3		1					1
2301		1		1		1			
2304		4		1			4		5
2307		1		1					1
2310		1		1					1
2312		1		3					3
2313		4		5			1		5
2314		4		1					1
2315		2		3					3
2316		3		10		4			6
2317		3		2					2
2319		3		2					2
2320		1		6		1		1	4
2321		2		5					5
2322		1		4		1		2	2
2323		2		7		1		1	5
2325		1		6				1	5
2326		2		4				1	3
2329		7		7				1	6
2330		6		1		1			
2331		2		3					3
2335		8		11		6	1		6
2336		4		3				1	2
2337		1		3					3
2338		3		6					6
2340		3		3					3
2342		2		11			2	2	11
2343		4		1		1			
2345		1		3				1	2
2348		2					2		2
2350		1		2		2			
2351		5		1					1
2353		5		12			1	2	11
2355		1		7		2			5
2356		6		2		2			
2357		2		3				2	2
2361		1		2		2			
2365		6		6		1	1	2	4
2369		2		3					3
2370		3		1					1
2373		4		1		1			
2375		5		1				1	
2376		1		1					
2378		3		1					1
2384		5		1					1
2385		1		2					2
2387		5		6		5	2		3
2389		1		3		3	5	4	1
2390		1					1		1
2392		1		6					6
2393		5		5		2			3
2394		2		1					1
2395		1		4					4
2397		1		3				1	2
2400		6		3					3
2402		2		2					2
2405		3		2					2
2406		3		9		1		1	7
2407		4					1		1
2408		2					1		1
2410		3		4		4	1		1
2415		4		1		1			
2416		1		1					1
2421		3		3					3
2422		1		4					4
2426		6		1					1
2428		4		5		2			3
2429		1		6				1	5
2431		5		4		4			
2432		3		2		1			1
2434		2		3		1			2
2436		2		4					4
2437		4		2					2
2438		1		5		4			1
2439		1		1		1			
2452		5		1	1		1		1
2453		5					1		1
2454		1		1					1
2461		1		1					1
2463		5		2		2			
2466		1		4					4
2470		2		1		1			
2474		2		6					6
2478		2		2			1		5
2482		3					11		11
2491		3		3		1			2
2493		2					3		3
2496		1		2					2
2497		5		1					1
2499		1		2					2
2501		2		3					3
2502		1		3					3
2503		1		1					1
2514		2		2					2
2516		3		5		2	1		4
2517		2		1		1			
2518		1		2			2		4
2521		6		2					2
2526		5		1					1
2530		4					2		2
2537		1		5			1		6
2539		3		3		1			3
2542		4		2					2
2546		3		1					1
2550		1		3			1		5
2562		4		1					1
2567		1		6					6
2568		2		1					1
2570		4		1					1
2571		3		1			1		2
2580		2		1		1			
2581		1		6					6
2582		4		1					1
2583		5					3		3
2586		5		4					4
2587		1		1		1			
2588		4		1					1
2589		1		1					1
2592		2		3		2			1
2596		2		4					4
2604		5		1					1
2614		2		3					3
2625		3		1					1
2627		1		4		4			
2628		2		2					1
2629		2		1					1
2632		4					1		1
2635		6					1		1
2640		3		2		2			
2646		2		1					1
2648		1		2	9				2
2651		3		2					2
2652		3		1					1
2653		5		1					1
2655		2					1		1
2656		2		1		1	2		2
2661		7		9		7		2	
2666		2		2		1			1
2667		5					2		2
2668		3		2					2
2670		5		1		1			
2679		5		2			1		3
2690		3		7					7
2693		3		6					6
2694		1		1					1
2698		2		2		1			1
2699		3					1		1
2700		5		1		1			
2701		6		3			4		7
2706		3		1		1			
2713		7		2					2
2714		3		1					1
2716		3					1		1
2717		3		4					4
2718		3		1					1
2737		5		3					3
2740		3					7		7
2744		5		3					3
2745		4		1				1	
2749		3							20
2752		2		3		2			1
2753		3		1					1
2754		4		2					2
2756		3		4		1			3
2757		9		4				1	3
2762		4		1					1
2763		6		1					1
2766		4		1					1
2767		4		2			1		3
2769		6		1					1
2770		5		2					2
2771		2		2					2
2772		5		6		3			3
2776		3		1					1
2780		4		2					2
2784		3		6		2			4
2792		4		4		1			3
2794		7		1					1
2795		3		4					4
2802		3		3		1			2
2807		6		1					1
2815		5		1					1
2819		1		5		4			1
2821		6		3					3
2824		4		1		1			
2826		5		2					1
2827		4		2					2
2829		6		3					3
2831		7		1		1			
2835		3		3					3
2836		6		1					1
2841		5		2		1		1	
2845		5		3					3
2854		5		2				1	1
2855		4		4		4			
2856		1		8					8
2857		3		2					2
2858		4		1				1	
2860		5		1					1
2867		4		1		1	3		3
2868		9		2					2
2870		6		1					1
2875		6							1
2879		8		7					7
2884		1		3		3			
2885		1		5					5
2886		4		3					3
2887		5		1					1
2888		3		2					2
2890		2		4		1			3
2892		1		2		1			1
2899		1		1					1
2900		6		1					1
2906		7		3					3
2912		7					1		1
2913		4		1					1
2916		5		4		4			
2917		1					3		3
2919		1		4					4
2921		1					2		2
2924		6		6					6
2929		3		1					1
2930		1		9		1		2	6
2931		2		4		3		1	
2932		1		2					2
2933		2		1					1
2936		5		3					3
2939		5		1		1			
2942		2		3					3
2945		5		19		7		1	11
2947		1		6					6
2952		7		1					1
2953		2		2					2
2954		3					3		3
2956		5		4				1	3
2958		1		3					3
2959		4		5		1			4
2962		6		3					3
2963		4		3					3
2964		1		1		1			
2966		1					5		5
2967		1		4				1	3
2970		8		2					2
2979		6		7				2	5
2982		2					2		2
2985		2		2				1	1
2986		5		1					1
2988		6		2		2			2
2990		7		5		4			1
2991		5		2					2
2993		1		1		1			
2994		1		1					1
2995		5		3				1	2
2997		1		1			1		2
2998		1		1					1
3000		3		1					1
3001		1		2		1	3		4
3002		2		1		1			
3004		1		3					3
3009		2		5					5
3010		10		3		3			
3011		2					4		4
3013		3		2					2
3014		7		6					6
3015		2		1		1	3		3
3017		2		3			2		5
3018		1		6		2			4
3022		6		1		1			
3025		4		4					4
3028		5		2					2
3029		6		5		3			2
3032		1		4					4
3033		3		9		3			6
3034		1		2					2
3037		4		12					12
3038		1					4		4
3039		1					1	1	
3040		1		1					1
3041		1		1					1
3043		7		2	1			1	1
3044		1					3		3
3045		6		6				2	4
3052		7		5					5
3060		5					17		17
3061		2		1		1			
3062		1		1			13		14
3064		8		3					3
3066		1		1					1
3070		2		1				1	
3074		3		1				1	
3076		2		19					
3077		1		1		1			
3078		6		1					1
3079		5		8				2	6
3083		7		2		2			
3084		3		2					2
3085		3		2					2
3087		1		4				1	3
3088		2		2				1	1
3089		1		5					5
3090		1					1		1
3094		2		5				1	4
3096		2					1		1
3097		3					1		1
3099		2		3					3
3102		7		7		5		1	1
3109		4		2					2
3113		5		6				1	5
3116		2		1					1
3117		4		7		5			2
3121		1		77		4	1	10	59
3126		1		3					3
3127		2		1					1
3129		3		3				2	1
3131		1		6		2			4
3140		2		2					2
3143		3		1					1
3149		4		4					4
3153		5		9			2		11
3154		3		6					6
3155		3		3			2		5
3161		2					4		4
3167		3		1					1
3169		7					2		2
3172		3		6					6
3175		4		3		2			2
3177		1		2					2
3178		2		1		1			
3179		7		2					2
3180		2		6		1			5
3182		4					1		1
3183		8		2					2
3188		2		2				1	1
3189		1		1				1	
3190		8		5	2			2	3
3191		4		2		1			1
3192		5		5					5
3193		1		5					5
3196		7		1					1
3198		1		2					2
3204		3		6		2			4
3205		1		1		1			
3208		5		1					1
3211		1					3		3
3212		5		6		6			
3213		1		2				2	
3214		3		7				1	6
3223		4		1					1
3226		1		3					3
3231		5		2					2
3239		1		1		1			
3240		8					2		2
3241		2		2			6	2	6
3242		2		3					3
3244		4		2					2
3245		4		5					5
3246		3		5		1			4
3247		5		10					10
3249		2		1		1			
3251		4		3					3
3253		1		1					1
3254		1		12		2	1	1	10
3255		1					14	2	14
3256		1		9					8
3258		3		8				2	6
3259		1		2					2
3260		6		10		5	16	2	19
3261		5					10		10
3262		1		1			14	4	10
3268		3		3					2
3269		3					1		1
3270		2					5		5
3273		3					1		
3274		2		11				2	10
3276		1		6					9
3277		2		2				1	1
3279		1		4					4
3281		1		2		2			
3283		5		6		1			5
3284		2		1					1
3288		1		1			6		7
3289		2		2					2
3290		2					1		1
3293		3		4			7	2	14
3294		4		1					1
3295		5					1		1
3296		3		1			7		8
3299		1					7		7
3301		4		4					4
3302		4					2		2
3304		7		1					1
3307		3		8					8
3308		1		128	41	12	7	22	102
3309		2		5		1	1		5
3311		1		3					3
3312		2					1		1
3314		2							1
3316		1		1					1
3317		5		1					1
3318		4		2					2
3319		5		2		1	2		3
3320		4		2				1	1
3321		1		1					1
3323		3		6		5			1
3324		4		2					2
3325		2					2		2
3326		4		4		1			4
3327		3		2					2
3328		5		2		1			1
3331		2		2					2
3332		2		1			1		2
3334		1		1			1		2
3336		4		4			1		5
3337		4		3					3
3338		4					1		1
3340		2		3				1	2
3341		1		2		1			1
3347		1		3		3			1
3348		1		3					3
3349		9		2					2
3351		3		2		1			1
3353		4		8		5			3
3354		6		3					3
3356		3		4					4
3357		1		5					5
3358		2		1					1
3359		5		2					2
3360		3		6				1	5
3362		3					3		3
3363		4					19		19
3365		2		2					2
3369		2		1			1		2
3371		5		1					1
3375		1					4		4
3376		6		4				2	2
3379		1							1
3380		1		1		1			
3381		2		4					4
3382		2		1					1
3383		2		5		4		1	
3388		4		2		2			
3391		2		5					5
3393		1		116		12	7	19	90
3396		1		8		5	2		4
3397		2					2		2
3400		2		3					3
3405		5		3					3
3406		1		1					1
3407		2		1					1
3408		2		1		1			
3410		1		13		3	1	3	15
3411		1		2					2
3412		1		1					1
3414		1		4					4
3415		4		3		3			
3417		2		3					3
3418		2					1	1	
3419		1							2
3422		4					1		1
3426		3		2			2	1	2
3428		5		1					1
3429		2		3				1	2
3432		3		3					3
3434		4		2		2			
3435		2		4		3		1	2
3436		2		5				1	4
3437		1		5					
3438		1		6				1	5
3443		2		3		1	1	1	2
3444		3		4				1	3
3449		1		3					3
3450		2		2					2
3451		2		1					1
3452		3		5					5
3453		2					1		1
3455		3		5		2	1	2	2
3457		1					3		3
3458		1		5					5
3459		5		2		2			
3460		4					2		2
3461		3		6					6
3462		5		98		20		6	71
3463		3		3		3			
3464		3		3					3
3470		1		6					6
3471		7		3					3
3472		2		3			1		4
3474		5		2			1		3
3476		1		6			4		10
3480		4		1					1
3481		2		2					2
3482		1		6					6
3484		1		5			2		7
3487		1		1		1			
3488		2		2		2			
3489		3		7					7
3490		3		5		1			4
3491		2		9		6			3
3492		3		5		3	4		6
3493		1		1					1
3495		4		2		1			1
3496		2					1		1
3497		1					11	2	9
3498		1		1			2	1	2
3499		4		2			6		8
3500		3		3					3
3501		2		1		1			
3503		2		3		1			2
3504		2		4		2			2
3505		3		2				1	1
3506		3		4				1	3
3509		1		6					6
3510		3		1		1			
3514		1		7					
3517		5					2		2
3520		3		4					4
3521		2					1		1
3523		4		6		1			5
3525		1		2		2			
3527		3					6		6
