number	number_sup	trip	trip_sup	onboard_at_departure	death_at_cape	left_at_cape	onboard_at_cape	death_during_voyage	onboard_at_arrival
3829		4		5				3	2
3830		4		10					10
3832		3		2				1	1
3833		4		16		4		4	7
3834		3		11		1			10
3835		2		10			1		11
3836		3		13		9			4
3837		3		5					5
3838		5		8			5		13
3839		2		18		1	1	2	15
3840		5		9					9
3843		3		8		1	1		8
3846		5		13		1			12
3847		6		178	3	9	4	3	170
3848		3		7					7
3849		4		10		1		1	8
3850		1		12		1		1	10
3851		5		7		1			
3853		2		7		1			6
3854		3		20		2		4	14
3855		4		18		1	1	2	16
3856		3		4		2		1	1
3859		4		17		2			15
3860		5		11		1			9
3861		5		10		1		1	7
3862		3		2		1			1
3863		4		15		1	2	1	15
3864		2		6		2		3	1
3865		3		8		2	1	5	3
3869		3		4		1	2	1	4
3870		3		2					2
3873		2		3					2
3876		2		9				2	7
3877		3		14		3			11
3878		1		6		2		1	3
3879		1		9			1	1	9
3880		8		8			2	2	8
3881		4		10		3		2	5
3882		4		12				2	10
3883		6		2					2
3884		7		7		2		1	4
3885		5		12		2		1	9
3886		5		6				2	4
3888		4		8				1	7
3889		1		11				3	8
3891		4		3		1			2
3892		3		9		3			6
3893		4		3		1			2
3896		4		12		4	2	5	5
3897		1		15		3	2	6	8
3898		5					1		1
3899		3		1		1	1		1
3900		4		9		1		1	7
3901		5		5		1	1		5
3902		4		8		2	2	2	6
3903		5		10		5	2	2	5
3905		1		1		1	4		4
3906		2		8		2	2	1	7
3908		3		14		2		1	11
3909		3		12		4			8
3910		6		2					2
3911		3		12		1	3	2	12
3912		3		16				1	15
3913		1		10			1	2	9
3915		1		9		1		1	7
3916		1		18				1	17
3917		1		9		3			6
3919		5		11				4	7
3921		1		17				6	11
3924		1		11		2			9
3925		6		11		1			10
3926		2		10		1	2	2	9
3927		7		9		1	1	2	7
3928		5		14		1		1	12
3929		1		6		1	1	1	5
3930		5		11			2	2	11
3931		1		11				2	9
3932		5		13		4	1	3	7
3933		1		4				1	3
3934		1		7		1		2	4
3935		1		13		1			12
3937		6		12		1		1	9
3938		1		12		1		2	9
3939		3		13		1		1	11
3940		1		3		1			1
3941		5		2					2
3942		1		10		5		2	3
3943		5		18		1		2	15
3945		4		2		1			1
3946		2		16		2	1	2	13
3949		1		17		2	2		17
3950		3		4		1	1		4
3951		4		3					5
3954		2					1		1
3955		1		12				1	11
3956		2		9					9
3957		1		15		3		1	11
3958		7		3	1	1		1	1
3961		1							4
3968		1							15
3971		3							15
3990		2							12
3991		4							12
3992		3		7	1	2	1	3	3
3995		5		8		1	2	3	6
4004		1							18
4006		1							9
4016		2							17
4021		3							9
4024		2							2
4026		1							17
4029		7							5
4033		2							18
4043		2							3
4045		4		6					6
4046		4							16
4048		5							11
4050		3							16
4057		4							16
4063		1							19
4076		5							17
4077		5							12
4078		3		13					12
4080		2		11					7
4081		2		13					13
4082		7							6
4083		6		15					13
4084		4		15					12
4085		4		16					11
4086		2		15					11
4087		1		22					13
4088		2		19					10
4089		2		17					13
4090		5		16					13
4091		3		15					10
4092		2		16					12
4093		1		26					19
4094		2		16					9
4095		1		13					2
4096		4		18					10
4097		4		16					9
4102		3		20	2	4	1	2	15
4103		2		19	9	2	3	9	11
4105		2		8		5	6		9
4115		2		17	4	2	1	4	12
4116		4							5
4133		1							32
4145		3							8
4146		1							11
4150		1							9
4156		6		17					7
4168		3		11					9
4170		5		12					9
4172		3		18					15
4173		5		21					8
4174		2		4					2
4175		4		18					11
4177		1							16
4178		1							10
4180		2		11					7
4181		1		12					9
4182		2		13					11
4184		1		12					1
4185		1		7					6
